Cervus 3.0.7 - (c) Copyright Tristan Marshall 1998-2014
Distributed by Field Genetics Ltd - www.fieldgenetics.com
Licensed for non-commercial use only

Allele frequency analysis completed 5/15/2019 4:17:00 PM


**** Summary statistics ****


Locus       k    N        HObs   HExp   PIC    NE-1P  NE-2P  NE-PP  NE-I   NE-SI  HW   F(Null)
dDocent_Contig_11_59    2     2693  0.348  0.343  0.284  0.941  0.858  0.774  0.491  0.701   NS  -0.0083
dDocent_Contig_107_30    2     2747  0.506  0.492  0.371  0.879  0.815  0.721  0.379  0.599   NS  -0.0143
dDocent_Contig_107_48    2     2747  0.398  0.403  0.322  0.919  0.839  0.751  0.438  0.658   NS   0.0062
dDocent_Contig_315_77    2     2726  0.431  0.420  0.332  0.912  0.834  0.745  0.425  0.646   NS  -0.0128
dDocent_Contig_315_166    2     2008  0.452  0.452  0.350  0.898  0.825  0.734  0.402  0.624   NS   0.0005
dDocent_Contig_333_46    2     2738  0.976  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3224
dDocent_Contig_333_47    2     2738  0.976  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3224
dDocent_Contig_333_107    2     2741  0.986  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3268
dDocent_Contig_333_108    2     2741  0.986  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3268
dDocent_Contig_435_7    2     2781  0.970  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3196
dDocent_Contig_435_159    2     2083  0.957  0.499  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3143
dDocent_Contig_516_15    2     2736  0.620  0.476  0.362  0.887  0.819  0.727  0.388  0.609  ***  -0.1318
dDocent_Contig_516_16    2     2736  0.571  0.439  0.342  0.904  0.829  0.739  0.411  0.634  ***  -0.1314
dDocent_Contig_516_58    2     2736  0.719  0.461  0.355  0.894  0.823  0.731  0.397  0.619  ***  -0.2188
dDocent_Contig_516_77    2     2736  0.715  0.460  0.354  0.894  0.823  0.732  0.398  0.620  ***  -0.2175
dDocent_Contig_516_79    2     2736  0.715  0.460  0.354  0.894  0.823  0.732  0.398  0.620  ***  -0.2175
dDocent_Contig_516_161    2     2035  0.971  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.3203
dDocent_Contig_631_90    2     2711  0.729  0.500  0.375  0.875  0.813  0.719  0.375  0.594  ***  -0.1867
dDocent_Contig_714_82    2     2706  0.322  0.338  0.281  0.943  0.860  0.776  0.496  0.705   NS   0.0242
dDocent_Contig_769_57    2     2699  0.478  0.469  0.359  0.890  0.821  0.729  0.392  0.614   NS  -0.0099
dDocent_Contig_816_20    2     2750  0.619  0.429  0.337  0.908  0.832  0.742  0.418  0.640  ***  -0.1809
dDocent_Contig_848_64    2     2744  0.338  0.326  0.273  0.947  0.863  0.781  0.507  0.714   NS  -0.0172
dDocent_Contig_889_111    2     2725  0.356  0.347  0.287  0.940  0.857  0.772  0.487  0.698   NS  -0.0126
dDocent_Contig_1152_37    2     2682  0.489  0.481  0.366  0.884  0.817  0.725  0.385  0.606   NS  -0.0081
dDocent_Contig_1201_31    2     2760  0.385  0.388  0.313  0.925  0.844  0.756  0.450  0.668   NS   0.0042
